Implementation,Model,MAE,RMSE,R2
NumPy From Scratch,Basic,231208.09375,318282.39194777963,-0.8025212287902832
PyTorch,Basic,144093.578125,229063.09907970772,0.06639021635055542
PyTorch,Improved,122040.1171875,210461.8373007325,0.2118627429008484
TensorFlow,Basic,147290.78125,229210.58321115977,0.06518757343292236
TensorFlow,Improved,146390.78125,219315.35650747304,0.1441587209701538
